Index,Timestamp,VelonutzungVorher,VelonutzungNachher,Velominuten,Grund,AuswirkungMaskenpflicht,Alter,Wohnort,
1,03.02.21 14:41,weniger,weniger,10,weil es schnell ist,keine Auswirkung,19 bis 25,Köniz,
2,03.02.21 14:42,1 - 3 mal,1 - 3 mal,16,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist, Kartoffeln",-,unter 18,Lützelflüh,
3,03.02.21 14:43,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Buchs,
4,03.02.21 14:44,jeden Tag,jeden Tag,15,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Basel,
5,03.02.21 14:45,1 - 3 mal,1 - 3 mal,1,"weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Gurmels,
6,03.02.21 14:45,weniger,1 - 3 mal,10,"weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Veltheim,
7,03.02.21 14:46,1 - 3 mal,weniger,5,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Mühleberg,
8,03.02.21 14:46,weniger,nie,0,"weil es gesund ist, weil es mir spass macht, Um in Form zu bleiben.",keine Auswirkung,unter 18,Heitenried,
9,03.02.21 14:47,4 - 6 mal,4 - 6 mal,5,weil es gesund ist,keine Auswirkung,unter 18,Konolfingen ,
10,03.02.21 14:47,weniger,weniger,0,weil es mir spass macht,keine Auswirkung,unter 18,Therwil,
11,03.02.21 14:49,4 - 6 mal,nie,0,"weil es umweltfreundlich ist, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
12,03.02.21 14:49,weniger,4 - 6 mal,35,"weil es mir spass macht, weil es schnell ist, Wöu i ke bock ha uf dütsch",Ich benutze häufiger das Velo als vorher.,unter 18,Wattenwil,
13,03.02.21 14:51,1 - 3 mal,4 - 6 mal,50,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,bern,X
14,03.02.21 14:51,weniger,weniger,15,weil es schnell ist,keine Auswirkung,unter 18,Köniz,
15,03.02.21 14:52,jeden Tag,jeden Tag,5,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
16,03.02.21 14:52,jeden Tag,jeden Tag,15,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",Ich benutze häufiger das Velo als vorher.,41 bis 65,Köniz,
17,03.02.21 14:53,1 - 3 mal,1 - 3 mal,0,"weil es umweltfreundlich ist, weil es gesund ist",keine Auswirkung,19 bis 25,Mühlethurnen,
18,03.02.21 14:54,weniger,weniger,0,"weil es umweltfreundlich ist, weil es gesund ist",keine Auswirkung,19 bis 25,Langenthal ,
19,03.02.21 14:54,1 - 3 mal,4 - 6 mal,50,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,bern,X
20,03.02.21 14:56,1 - 3 mal,weniger,0,weil es schnell ist,keine Auswirkung,unter 18,Münchenbuchsee,
21,03.02.21 14:58,4 - 6 mal,4 - 6 mal,4,"weil es gesund ist, weil es mir spass macht, weil es schnell ist, Aues angere gieng eifach ewig",keine Auswirkung,unter 18,Burgdorf,
22,03.02.21 14:59,nie,nie,50,weil es schnell ist,keine Auswirkung,unter 18,Köniz,
23,03.02.21 15:00,1 - 3 mal,weniger,13,weil es gesund ist,keine Auswirkung,19 bis 25,Radelfingen,
24,03.02.21 15:00,nie,nie,0,fahre öppe nie velo,keine Auswirkung,unter 18,Köniz,
25,03.02.21 15:00,nie,nie,0,fahre öppe nie velo,keine Auswirkung,unter 18,Köniz,
26,03.02.21 15:02,jeden Tag,jeden Tag,7,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
27,03.02.21 15:04,weniger,4 - 6 mal,20,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Kehrsatz,
28,03.02.21 15:07,weniger,nie,8,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Bern,X
29,03.02.21 15:08,4 - 6 mal,4 - 6 mal,15,"weil es billig ist, weil es schnell ist",keine Auswirkung,unter 18,Heimberg,
30,03.02.21 15:08,jeden Tag,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Lohn-Ammannsegg,
31,03.02.21 15:09,4 - 6 mal,4 - 6 mal,5,"weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz,
