Timestamp,Wie oft hast du dein Velo vor der Corona Pandemie pro Woche benutzt?,Wie oft in der Woche benutzt du dein Velo jetzt?,Wie viele Minuten brauchst du ein Velo für den Arbeitsweg?,Wieso fährst du Velo?,Wie hat sich die Maskenpflicht im ÖV auf deinen Velogebrauch ausgwirkt?,Wie alt bist du?,In welcher Gemeinde wohnst du?
03/02/2021 14:41:17,weniger,weniger,10,weil es schnell ist,keine Auswirkung,19 bis 25,Köniz
03/02/2021 14:42:39,1 - 3 mal,1 - 3 mal,15.573,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist, Kartoffeln",Härdöpfu,unter 18,Lützelflüh
03/02/2021 14:43:38,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Buchs
03/02/2021 14:44:22,jeden Tag,jeden Tag,15,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,basel
03/02/2021 14:45:00,1 - 3 mal,1 - 3 mal,1,"weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Gurmels
03/02/2021 14:45:38,weniger,1 - 3 mal,10,"weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Veltheim
03/02/2021 14:46:26,1 - 3 mal,weniger,5,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Mühleberg
03/02/2021 14:46:56,weniger,nie,0.000000001001,"weil es gesund ist, weil es mir spass macht, Um in Form zu bleiben.",keine Auswirkung,unter 18,"Heitenried, weil Heiti is love!"
03/02/2021 14:47:38,4 - 6 mal,4 - 6 mal,5,weil es gesund ist,keine Auswirkung,unter 18,Konolfingen 
03/02/2021 14:47:45,weniger,weniger,0,weil es mir spass macht,keine Auswirkung,unter 18,Therwil
03/02/2021 14:49:43,4 - 6 mal,nie,0,"weil es umweltfreundlich ist, weil es schnell ist",keine Auswirkung,unter 18,Köniz
03/02/2021 14:49:51,weniger,4 - 6 mal,35,"weil es mir spass macht, weil es schnell ist, Wöu i ke bock ha uf dütsch",Ich benutze häufiger das Velo als vorher.,unter 18,Wattenwil
03/02/2021 14:51:21,1 - 3 mal,4 - 6 mal,50,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,bern
03/02/2021 14:51:38,weniger,weniger,15,weil es schnell ist,keine Auswirkung,unter 18,Köniz
